Designator,Mid X,Mid Y,Rotation,Layer
C2,89.0,-83.8,270.0,top
C3,109.2,-82.9,180.0,top
C4,94.8,-69.0,180.0,top
C5,91.625,-69.0,180.0,top
C6,95.345,-78.4,0.0,top
C7,90.8,-78.4,0.0,top
C8,95.1,-82.9,270.0,top
R1,98.0,-83.2,0.0,top
R2,98.0,-85.0,0.0,top
R3,98.2,-66.6,0.0,top
R4,98.2,-65.0,0.0,top
U2,91.898654,-83.050038,180.0,top
U3,93.2,-66.4,180.0,top
U4,93.2,-73.8,0.0,top
